X,Y,TreeType,dbh_cm
328243.479,5527539.327,Ash,30
328238.871,5527563.764,Ash,23
328264.875,5527559.073,Ash,23
328265.862,5527672.186,Ash,25
328235.572,5527687.174,Ash,25
328254.315,5527690.32,Ash,13
328365.686,5527724.473,Ash,20
328365.042,5527700.65,Ash,30
328363.747,5527659.145,Ash,30
328362.6,5527635.998,Ash,30
328361.936,5527615.703,Ash,25
328360.645,5527567.819,Ash,15
328359.195,5527551.731,Ash,15
328358.657,5527533.706,Ash,20
328357.057,5527489.662,Ash,15
328357.615,5527477.18,Ash,20
328356.811,5527467.995,Ash,20
328352.988,5527457.745,Ash,25
328327.308,5527457.9,Ash,23
328311.837,5527457.328,Ash,23
328303.848,5527458.282,Ash,23
328301.715,5527444.994,Ash,23
328313.804,5527442.638,Ash,23
328336.662,5527443.913,Ash,20
328359.637,5527438.071,Ash,25
328370.443,5527439.016,Ash,25
328370.374,5527471.214,Ash,25
328371.336,5527495.689,Ash,5
328371.875,5527508.068,Ash,20
328371.652,5527521.459,Ash,15
328373.457,5527562.725,Maple,10
328374.546,5527586.223,Ash,20
328374.013,5527595.785,Ash,18
328375.536,5527630.688,Ash,23
328375.989,5527651.878,Ash,23
328377.219,5527668.58,Ash,15
328377.968,5527691.779,Ash,15
328378.826,5527714.014,Ash,15
328378.165,5527725.633,Ash,25
328436.221,5527796.887,Ash,8
328428.188,5527791.048,Ash,10
328412.251,5527785.891,Ash,10
328346.368,5527773.688,Ash,20
328334.964,5527772.341,Ash,15
328309.505,5527767.84,Ash,10
328297.862,5527765.698,Ash,10
327975.712,5527288.768,Ash,10
327976.286,5527278.616,Ash,15
327988.62,5527237.837,Ash,38
328007.945,5527254.325,Ash,20
327999.33,5527257.118,Ash,15
327986.628,5527292.283,Ash,20
327888.751,5527965.251,Spruce,36
327894.167,5527965.406,Spruce,36
327826.388,5528101.442,Cedar,20
327826.607,5528099.483,Cedar,25
327826.535,5528098.01,Cedar,15
327826.105,5528097.502,Cedar,25
327826.505,5528097.051,Cedar,25
327914.932,5528755.612,Elm,38
327729.25,5528856.839,Maple,30
327728.746,5528852.091,Maple,25
328112.184,5527535.807,Spruce,36
327488.845,5527812.786,Ash,23
327594.038,5528358.926,Honey Locust,10
327608.852,5528344.65,Honey Locust,5
327638.223,5528313.344,Honey Locust,8
327652.872,5528299.998,Honey Locust,15
327669.559,5528287.985,Honey Locust,5
327690.838,5528281.856,Honey Locust,5
327403.297,5528555.916,Honey Locust,20
327414.649,5528544.587,Maple,4
327424.493,5528531.417,Honey Locust,20
327444.445,5528512.012,Honey Locust,10
327453.046,5528504.688,Honey Locust,15
327461.579,5528494.218,Honey Locust,15
327480.908,5528473.743,Honey Locust,15
327501.039,5528453.289,Honey Locust,28
327508.794,5528444.875,Honey Locust,23
327515.072,5528439.163,Honey Locust,36
327522.026,5528430.629,Honey Locust,30
327528.465,5528424.47,Honey Locust,28
327540.702,5528413.279,Honey Locust,33
327547.196,5528407.124,Honey Locust,25
327555.638,5528397.03,Honey Locust,25
327562.901,5528388.491,Honey Locust,25
327320.104,5528595.454,Cherry/Plum,5
327326.923,5528595.711,Honey Locust,20
327360.158,5528585.65,Honey Locust,25
327368.166,5528582.166,Honey Locust,20
327382.015,5528572.43,Honey Locust,25
327394.871,5528564.111,Honey Locust,20
327825.304,5527895.22,Elm,51
327829.624,5527889.599,Elm,8
327735.719,5527825.973,Elm,61
327729.253,5527825.024,Elm,51
327722.15,5527825.518,Elm,30
327715.752,5527825.285,Elm,30
327792.873,5529778.782,Maple,27
327792.671,5529788.535,Maple,41
327793.173,5529797.313,Ash,40
327793.284,5529807.14,Maple,59
327793.883,5529815.895,Maple,31
327793.733,5529825.496,Ash,33
327793.976,5529834.882,Maple,40
327794.787,5529843.568,Maple,35
327794.284,5529853.474,Ash,38
327795.565,5529862.608,Ash,48
327796.829,5529880.206,Ash,19
327795.41,5529872.346,Maple,44
327786.32,5529636.134,Spruce,52
327786.681,5529622.279,Spruce,45
327772.481,5529305.55,Maple,41
327779.219,5529321.543,Maple,12
327781.653,5529330.776,Maple,27
327768.711,5529380.359,Maple,30
327768.183,5529371.768,Maple,28
327767.79,5529361.796,Maple,32
327766.417,5529352.795,Maple,33
327765.433,5529343.055,Maple,29
327763.481,5529333.044,Maple,32
327761.766,5529324.276,Maple,28
327757.555,5529316.44,Maple,39
327754.592,5529306.926,Maple,35
327750.098,5529297.939,Maple,45
327744.435,5529288.067,Honey Locust,32
327739.021,5529280.482,Honey Locust,23
327732.949,5529272.258,Honey Locust,18
327726.662,5529265.814,Honey Locust,25
327720.126,5529259.059,Honey Locust,22
327712.688,5529253.025,Honey Locust,19
327705.182,5529247.491,Honey Locust,19
327697.738,5529240.883,Honey Locust,27
327690.061,5529235.306,Honey Locust,27
327673.016,5529218.894,Maple,35
327665.538,5529208.844,Maple,39
327658.321,5529198.366,Maple,41
327653.17,5529185.012,Maple,40
327645.168,5529169.442,Linden-Basswood,31
327642.7,5529162.186,Linden-Basswood,38
327640.964,5529154.327,Linden-Basswood,10
327716.472,5529230.539,Maple,26
327721.654,5529234.828,Maple,23
327727.795,5529240.133,Maple,25
327734.255,5529247.197,Maple,25
327741.705,5529253.095,Maple,30
327746.596,5529257.377,Maple,27
329304.596,5528914.177,Honey Locust,5
329287.471,5528923.256,Honey Locust,5
329276.079,5528928.187,Honey Locust,5
329270.695,5528929.551,Honey Locust,5
329255.936,5528933.659,Honey Locust,8
329233.509,5528936.025,Birch,15
329196.088,5528941.825,Birch,10
329257.743,5528918.597,Honey Locust,5
329273.786,5528914.475,Honey Locust,5
329290.912,5528905.612,Honey Locust,5
329380.982,5528715.088,Honey Locust,5
329380.551,5528721.379,Honey Locust,5
329380.433,5528736.662,Honey Locust,5
329377.556,5528760.546,Honey Locust,5
329377.172,5528773.578,Honey Locust,5
329374.681,5528789.661,Honey Locust,5
329372.342,5528804.761,Honey Locust,5
329369.628,5528818.457,Honey Locust,5
329368.27,5528826.131,Honey Locust,5
329364.161,5528838.042,Honey Locust,5
329358.435,5528851.863,Honey Locust,5
329351.817,5528864.774,Honey Locust,5
329338.621,5528883.475,Honey Locust,3
329332.643,5528890.666,Honey Locust,3
329318.918,5528903.736,Honey Locust,5
329313.674,5528889.678,Honey Locust,5
329333.116,5528869.807,Honey Locust,5
329343.895,5528852.892,Honey Locust,8
329347.768,5528845.759,Honey Locust,8
329355.779,5528822.617,Honey Locust,5
329358.83,5528810.092,Honey Locust,5
329363.238,5528784.812,Honey Locust,5
329364.83,5528768.88,Honey Locust,5
329366.449,5528752.823,Honey Locust,5
329367.21,5528736.97,Honey Locust,8
329367.938,5528720.462,Honey Locust,8
329368.13,5528708.417,Hawthorn,3
329368.58,5528704.526,Honey Locust,5
329376.66,5528606.809,Honey Locust,5
329377.308,5528622.86,Honey Locust,10
329378.086,5528637.981,Honey Locust,5
329378.614,5528652.806,Honey Locust,8
329380.113,5528662.262,Honey Locust,5
329382.037,5528684.796,Honey Locust,5
329382.203,5528690.698,Honey Locust,5
329367.025,5528657.987,Spruce,3
329366.449,5528650.93,Spruce,5
329365.799,5528633.329,Spruce,8
329365.508,5528620.762,Spruce,8
329329.244,5528095.622,Oak,13
329427.308,5528320.252,Maple,20
329427.836,5528326.535,Spruce,20
329382.604,5528516.875,Ash,13
329377.382,5528538.645,Ash,13
329370.748,5528566.369,Ash,10
329285.404,5528602.543,Linden-Basswood,5
329304.199,5528601.879,Linden-Basswood,5
329326.083,5528602.01,Linden-Basswood,5
329331.24,5528601.57,Linden-Basswood,8
329354.603,5528600.497,Linden-Basswood,8
329271.299,5528603.347,Linden-Basswood,5
329263.44,5528603.218,Linden-Basswood,5
329245.102,5528604.008,Linden-Basswood,8
329213.933,5528692.894,Sumac,38
329242.993,5528690.741,Maple,5
329257.482,5528690.853,Maple,5
329330.129,5528688.934,Maple,5
329343.56,5528688.593,Maple,5
329359.433,5528687.952,Maple,5
329363.466,5528700.206,Hawthorn,3
329359.406,5528700.092,Hawthorn,3
329355.555,5528699.926,Hawthorn,3
329351.034,5528699.962,Hawthorn,3
329339.841,5528700.819,Hawthorn,3
329336.36,5528700.941,Hawthorn,3
329321.977,5528701.006,Maple,8
329303.955,5528701.623,Maple,8
329280.656,5528701.927,Maple,5
329267.001,5528701.815,Maple,5
329250.531,5528703.569,Maple,5
329260.564,5528789.617,Mountain Ash/Whitebeam,5
329252.876,5528789.099,Mountain Ash/Whitebeam,8
329275.229,5528783.376,Mountain Ash/Whitebeam,5
329294.722,5528785.194,Mountain Ash/Whitebeam,5
329295.107,5528798.376,Mountain Ash/Whitebeam,8
329289.043,5528815.269,Mountain Ash/Whitebeam,5
329295.147,5528872.037,Spruce,8
329302.899,5528884.746,Spruce,5
329293.046,5528894.219,Spruce,5
329287.029,5528883.824,Spruce,5
329279.115,5528870.072,Mountain Ash/Whitebeam,3
329277.176,5528853.63,Mountain Ash/Whitebeam,8
329276.161,5528834.893,Spruce,8
329275.494,5528814.561,Spruce,8
329254.374,5528802.563,Mountain Ash/Whitebeam,5
329268.56,5528802.234,Mountain Ash/Whitebeam,5
329296.019,5528516.759,Ash,41
329286.141,5528568.467,Ash,15
329280.952,5528532.103,Hawthorn,5
329283.312,5528517.749,Hawthorn,5
329325.424,5528403.5,Ash,28
329316.677,5528431.46,Ash,30
329312.077,5528451.236,Birch,13
329292.756,5528473.581,Ash,30
329297.516,5528460.552,Hawthorn,5
329303.63,5528439.525,Hawthorn,5
329307.373,5528418.189,Hawthorn,5
329319.594,5528373.837,Hawthorn,5
329297.81,5528248.281,Honey Locust,13
329279.6,5528255.306,Spruce,3
329262.718,5528255.243,Honey Locust,8
329261.231,5528256.09,Birch,13
329252.104,5528230.467,Honey Locust,102
329258.128,5528226.821,Maple,15
329261.839,5528228.347,Honey Locust,5
329275.842,5528241.617,Honey Locust,5
329295.818,5528243.212,Honey Locust,8
329307.451,5528228.872,Ash,25
329288.2,5528203.664,Ash,25
329268.727,5528186.013,Hawthorn,5
329256.648,5528097.555,Ash,30
329271.277,5528130.205,Ash,30
329271.418,5528152.758,Ash,30
329271.781,5528162.289,Ash,30
329279.783,5528179.563,Ash,20
329290.066,5528189.166,Ash,20
329317.419,5528218.86,Ash,20
329327.591,5528281.468,Spruce,10
329322.819,5528266.818,Cedar,10
329268.072,5528040.484,Ash,23
329267.674,5528024.965,Ash,36
329253.547,5528029.537,Birch,46
329171.342,5528140.484,Ash,15
329170.492,5528164.435,Ash,15
329170.284,5528202.955,Ash,5
329169.922,5528218.27,Ash,5
329170.06,5528253.575,Ash,10
329177.857,5528293.801,Ash,10
329181.944,5528309.467,Ash,13
329187.982,5528334.523,Ash,18
329204.165,5528394.802,Ash,10
329210.588,5528421.011,Ash,8
329221.398,5528442.52,Ash,10
329234.968,5528457.234,Ash,8
329274.389,5528489.092,Ash,13
329256.664,5528483.128,Ash,15
329216.89,5528454.897,Ash,18
329209.44,5528443.637,Ash,20
329198.342,5528416.253,Ash,18
329192.203,5528397.259,Cherry/Plum,3
329190.571,5528391.105,Cherry/Plum,3
329187.052,5528372.883,Lilac,5
329182.986,5528361.16,Lilac,5
329173.076,5528325.17,Linden-Basswood,102
329164.314,5528285.546,Lilac,5
329159.886,5528269.293,Lilac,5
329157.568,5528252.398,Maple,8
329157.016,5528249.83,Mountain Ash/Whitebeam,3
329156.84,5528231.6,Maple,15
329161.009,5528175.207,Spruce,15
329158.268,5528171.964,Spruce,28
328669.842,5530225.201,Honey Locust,35
328750.14,5530221.805,Honey Locust,34
328779.136,5530220.588,Honey Locust,40
328850.511,5530219.14,Honey Locust,41
328882.711,5530217.198,Honey Locust,41
328894.449,5530215.615,Honey Locust,37
328919.04,5530231.893,Honey Locust,40
329027.196,5530212.759,Honey Locust,44
329001.297,5530212.838,Honey Locust,54
328985.86,5530213.009,Honey Locust,39
328971.654,5530213.543,Honey Locust,49
